programID,Date,eventType,Venue,Location,Time
5980,1879-02-08T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
10128,1879-02-09T05:00:00Z,Chamber,Steinway Hall,"Manhattan, NY",8:00PM
10109,1879-02-15T05:00:00Z,Chamber,Steinway Hall,"Manhattan, NY",2:00PM
2877,1879-03-01T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
2945,1879-03-08T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
3653,1879-03-27T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",2:00PM
3653,1879-03-29T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
10110,1879-04-01T05:00:00Z,Chamber,Chickering Hall,"Manhattan, NY",8:00PM
7294,1879-04-05T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
9864,1879-04-16T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",2:00PM
10111,1879-11-05T05:00:00Z,Chamber,Chickering Hall,"Manhattan, NY",None
3750,1879-11-06T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",2:00PM
3750,1879-11-08T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
6236,1879-11-21T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
10112,1879-12-02T05:00:00Z,Chamber,Chickering Hall,"Manhattan, NY",None
3876,1879-12-04T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",2:00PM
3876,1879-12-06T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
3207,1879-12-20T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
11601,1879-12-27T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
10113,1880-01-06T05:00:00Z,Chamber,Chickering Hall,"Manhattan, NY",None
4793,1880-01-15T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",2:00PM
4793,1880-01-17T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
6899,1880-01-24T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
4813,1880-02-12T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",2:00PM
4813,1880-02-14T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
4813,1880-02-18T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
4813,1880-02-25T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
4813,1880-04-01T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",2:00PM
4813,1880-04-03T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
3895,1880-02-21T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
4916,1880-03-11T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",None
4916,1880-03-13T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",None
871,1880-03-20T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
5810,1880-04-15T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",2:00PM
5810,1880-04-17T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
5245,1880-04-24T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
5850,1880-11-04T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",None
5850,1880-11-06T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",None
7140,1880-11-13T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
6007,1880-12-02T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",None
6007,1880-12-04T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",None
4118,1880-12-11T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
11602,1880-12-29T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
6019,1881-01-06T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",2:00PM
6019,1881-01-08T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
415,1881-01-15T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
6721,1881-02-03T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",2:00PM
6721,1881-02-05T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
4805,1881-02-12T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
6866,1881-03-03T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",None
6866,1881-03-05T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",None
1751,1881-03-12T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
6939,1881-03-31T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",2:00PM
6939,1881-04-02T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
6165,1881-04-09T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
6976,1881-11-03T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",2:00PM
6976,1881-11-05T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
656,1881-11-12T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
8016,1881-12-01T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",2:00PM
8016,1881-12-03T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
5007,1881-12-10T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
11603,1881-12-29T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
8017,1882-01-05T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",2:00PM
8017,1882-01-07T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
1289,1882-01-14T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
8018,1882-02-02T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",2:00PM
8018,1882-02-04T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
5703,1882-02-11T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
8019,1882-03-02T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",2:00PM
8019,1882-03-04T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
2672,1882-03-11T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
8020,1882-04-06T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",2:00PM
8020,1882-04-08T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
7006,1882-04-15T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
8021,1882-11-03T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",2:00PM
8021,1882-11-04T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
1534,1882-11-11T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
5932,1882-12-09T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
8022,1882-12-15T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",2:00PM
8022,1882-12-16T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
11604,1882-12-27T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
2238,1883-01-06T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
8023,1883-01-12T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",2:00PM
8023,1883-01-13T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
6599,1883-02-10T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
8025,1883-02-16T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",2:00PM
8025,1883-02-17T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
3574,1883-03-10T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
8026,1883-03-30T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",None
8026,1883-03-31T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",None
528,1883-04-07T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
8027,1883-04-27T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",2:00PM
